hora,p estatica,p total,p dinamica,Velocidad,Caudal,horaT
12:22:07 PM,0.0,-6.2,6.2,3.3,49,1900-01-01T12:22:07Z
12:22:13 PM,0.0,-6.2,6.2,3.3,50,1900-01-01T12:22:13Z
12:22:19 PM,43.4,43.4,0.0,0.0,52,1900-01-01T12:22:19Z
12:22:25 PM,713.0,1035.4,322.4,23.9,55,1900-01-01T12:22:25Z
12:22:31 PM,694.4,1060.2,365.8,25.4,58,1900-01-01T12:22:31Z
12:22:37 PM,589.0,967.2,378.2,25.9,60,1900-01-01T12:22:37Z
12:22:43 PM,620.0,998.2,378.2,25.9,60,1900-01-01T12:22:43Z
12:22:49 PM,626.2,998.2,372.0,25.7,60,1900-01-01T12:22:49Z
12:22:55 PM,620.0,985.8,365.8,25.4,60,1900-01-01T12:22:55Z
